latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.01886,142.79935,328.62,2.61,1.55,2023-09-22,0052,T,82,6.1NRT,299.37,75.03,D
-12.0493,142.81993,319.16,2.62,1.55,2023-09-22,0052,T,65,6.1NRT,298.52,39.34,D
-12.1055,142.7598,332.04,2.6,1.55,2023-09-22,0052,T,84,6.1NRT,299.99,95,D
-12.10827,142.78331,329.86,2.61,1.55,2023-09-22,0052,T,83,6.1NRT,299.81,86.08,D
-12.45636,142.94029,313.77,2.71,1.58,2023-09-22,0052,T,59,6.1NRT,297.71,28.79,D
-12.35105,141.87248,329.91,2.23,1.45,2023-09-22,0052,T,81,6.1NRT,301.5,58.96,D
-12.35344,141.89255,320.17,2.23,1.45,2023-09-22,0052,T,67,6.1NRT,303.64,24,D
-12.38719,141.84781,319.84,2.22,1.44,2023-09-22,0052,T,56,6.1NRT,303.63,20.97,D
-12.38964,141.8678,321.36,2.23,1.45,2023-09-22,0052,T,60,6.1NRT,304.5,23.64,D
-11.66724,135.97713,332.66,1.01,1,2023-09-22,0052,T,0,6.1NRT,302.52,21.83,D
-11.68374,135.96548,336.57,1.01,1,2023-09-22,0052,T,41,6.1NRT,303.48,26.42,D
-11.49299,132.77116,323.99,1.22,1.1,2023-09-22,0052,T,64,6.1NRT,302.8,13.59,D
-12.92034,142.85048,321.65,2.71,1.58,2023-09-22,0052,T,46,6.1NRT,300.67,38.56,D
-12.93438,142.84885,320.78,2.71,1.58,2023-09-22,0052,T,41,6.1NRT,300.09,34.48,D
-12.9656,142.99541,322,2.79,1.6,2023-09-22,0052,T,70,6.1NRT,300.17,54.11,D
-11.3968,131.35551,337.69,1.5,1.21,2023-09-22,0052,T,86,6.1NRT,304.62,49.07,D
-11.39888,131.36887,327.09,1.5,1.21,2023-09-22,0052,T,48,6.1NRT,304.04,23.36,D
-11.3894,131.35071,327.7,1.5,1.21,2023-09-22,0052,T,54,6.1NRT,302.44,24.33,D
-11.39159,131.36409,324.8,1.5,1.21,2023-09-22,0052,T,44,6.1NRT,302.75,19.46,D
-12.24144,136.77776,329.91,1.05,1.02,2023-09-22,0052,T,72,6.1NRT,306.71,16.35,D
-12.24276,136.78723,324.06,1.05,1.02,2023-09-22,0052,T,35,6.1NRT,307.55,8.71,D
-12.90684,141.72746,322.91,2.21,1.44,2023-09-22,0052,T,66,6.1NRT,303.61,32.73,D
-12.90925,141.74741,320.81,2.22,1.44,2023-09-22,0052,T,65,6.1NRT,302.49,26.58,D
-11.39101,130.87488,322.89,1.63,1.26,2023-09-22,0052,T,40,6.1NRT,301.91,21.36,D
-11.40445,130.88773,324.59,1.62,1.25,2023-09-22,0052,T,27,6.1NRT,302.57,21.91,D
-11.88437,134.00749,323.39,1.06,1.03,2023-09-22,0052,T,32,6.1NRT,307.16,7.89,D
-11.41786,130.90048,331.15,1.62,1.25,2023-09-22,0052,T,42,6.1NRT,303.43,35.01,D
-11.43124,130.9063,326.02,1.62,1.25,2023-09-22,0052,T,36,6.1NRT,302.64,24.58,D
-13.01144,142.06398,320.31,2.36,1.48,2023-09-22,0052,T,63,6.1NRT,302.09,23.19,D
-11.92138,133.34628,339.69,1.12,1.06,2023-09-22,0052,T,86,6.1NRT,308.99,31.88,D
-11.92294,133.35641,338.11,1.12,1.06,2023-09-22,0052,T,84,6.1NRT,309.69,28.74,D
-12.41848,136.59554,322.15,1.04,1.02,2023-09-22,0052,T,45,6.1NRT,304.76,6.01,D
-11.56808,130.75742,331.01,1.65,1.26,2023-09-22,0052,T,43,6.1NRT,305.04,32.01,D
-11.56728,130.75078,329.81,1.65,1.26,2023-09-22,0052,T,73,6.1NRT,305.23,29.31,D
-12.20372,134.78676,349.87,1.01,1.01,2023-09-22,0052,T,94,6.1NRT,308.57,47.58,D
-12.20507,134.79588,332.26,1.01,1,2023-09-22,0052,T,77,6.1NRT,309.34,17.94,D
-12.29951,135.43863,327.25,1,1,2023-09-22,0052,T,55,6.1NRT,309.35,10.54,D
-12.30082,135.44765,328.89,1,1,2023-09-22,0052,T,68,6.1NRT,306.68,13.03,D
-12.47044,136.63954,332.09,1.04,1.02,2023-09-22,0052,T,78,6.1NRT,304.44,20.74,D
-12.3426,135.42308,337.42,1,1,2023-09-22,0052,T,84,6.1NRT,306.86,23.51,D
-13.17902,141.71666,325.34,2.23,1.45,2023-09-22,0052,T,76,6.1NRT,299.86,43.47,D
-13.18145,141.73692,328.65,2.23,1.45,2023-09-22,0052,T,79,6.1NRT,300.83,55.97,D
-12.35017,135.41275,328.93,1,1,2023-09-22,0052,T,45,6.1NRT,309.53,11.33,D
-12.35774,135.40242,349.84,1,1,2023-09-22,0052,T,94,6.1NRT,308.4,42.86,D
-12.35905,135.41144,358.96,1,1,2023-09-22,0052,T,99,6.1NRT,308.23,65.44,D
-12.15065,133.93814,325.25,1.06,1.03,2023-09-22,0052,T,52,6.1NRT,310.5,8.06,D
-11.7824,130.87476,322.22,1.6,1.25,2023-09-22,0052,T,69,6.1NRT,301.91,17.56,D
-11.76449,130.82642,325.01,1.62,1.25,2023-09-22,0052,T,71,6.1NRT,300.95,23.31,D
-12.34269,134.48163,325.21,1.02,1.01,2023-09-22,0052,T,31,6.1NRT,309.31,7.7,D
-12.36405,134.56314,333.39,1.02,1.01,2023-09-22,0052,T,79,6.1NRT,309.72,18.01,D
-12.373,134.56181,331.55,1.02,1.01,2023-09-22,0052,T,73,6.1NRT,310.37,15.08,D
-12.38196,134.56047,332.66,1.02,1.01,2023-09-22,0052,T,64,6.1NRT,310.3,15.91,D
-12.39091,134.55913,326.78,1.02,1.01,2023-09-22,0052,T,58,6.1NRT,309.12,9.19,D
-12.38479,134.45636,326.05,1.02,1.01,2023-09-22,0052,T,62,6.1NRT,308.88,8.56,D
-12.3985,134.54858,341.66,1.02,1.01,2023-09-22,0052,T,88,6.1NRT,310.12,30.66,D
-12.39239,134.44579,335.98,1.02,1.01,2023-09-22,0052,T,82,6.1NRT,308.36,21.2,D
-12.39377,134.45502,354.19,1.02,1.01,2023-09-22,0052,T,96,6.1NRT,312.84,56.91,D
-12.25435,133.04871,327.19,1.15,1.07,2023-09-22,0052,T,68,6.1NRT,308.19,11.2,D
-12.25595,133.05905,324.77,1.15,1.07,2023-09-22,0052,T,52,6.1NRT,308.3,7.07,D
-12.64437,134.58679,336.92,1.01,1.01,2023-09-22,0052,T,83,6.1NRT,311.61,22.45,D
-12.65331,134.58543,336.29,1.01,1.01,2023-09-22,0052,T,83,6.1NRT,311.87,20.53,D
-12.72127,134.48433,326.58,1.02,1.01,2023-09-22,0052,T,27,6.1NRT,311.55,7.74,D
-12.76858,134.61794,326.32,1.01,1.01,2023-09-22,0052,T,47,6.1NRT,311.09,7.03,D
-12.80308,134.47528,344,1.02,1.01,2023-09-22,0052,T,90,6.1NRT,312.57,33.26,D
-12.81066,134.46474,333.85,1.02,1.01,2023-09-22,0052,T,78,6.1NRT,310.89,16.67,D
-12.81824,134.45416,336.18,1.02,1.01,2023-09-22,0052,T,82,6.1NRT,312.17,21.51,D
-12.92354,131.63327,328.93,1.36,1.16,2023-09-22,0052,T,46,6.1NRT,310.36,15,D
-13.04298,132.37802,331.87,1.22,1.1,2023-09-22,0052,T,76,6.1NRT,308.98,19.19,D
-13.04473,132.38907,325.12,1.22,1.1,2023-09-22,0052,T,45,6.1NRT,308.49,7.74,D
-13.07742,132.40648,341.42,1.22,1.1,2023-09-22,0052,T,87,6.1NRT,310.04,37.45,D
